Matemática,Lenguaje,Ciencias,NEM,Colegio_Egreso,Sexo,Nota,asi_Cod
626,607,578,660,Subvencionado,F,1.0,530024
705,651,638,641,Subvencionado,M,4.7,510145
590,581,451,641,Municipalizado,M,2.8,520145
700,710,588,721,Subvencionado,F,3.6,520145
693,645,575,641,Subvencionado,M,4.0,520145
664,591,598,480,Privado,M,2.1,520145
646,608,584,599,Municipalizado,F,3.7,510145
623,530,614,641,Municipalizado,M,2.3,520145
829,721,733,721,Subvencionado,M,4.6,510145
648,700,613,557,Privado,F,2.4,510145
669,517,567,619,Subvencionado,M,4.2,520145
634,593,595,517,Subvencionado,M,4.0,510145
624,601,591,642,Subvencionado,M,1.0,520145
645,583,647,642,Municipalizado,M,3.4,520145
670,657,688,619,Privado,M,4.0,510145
621,580,567,558,Subvencionado,M,4.1,530024
622,579,585,660,Subvencionado,M,3.0,510145
688,618,611,481,Privado,M,1.0,530024
693,658,659,700,Municipalizado,F,4.3,520145
619,613,597,557,Subvencionado,F,1.4,510145
688,582,596,578,Subvencionado,M,4.0,530024
660,513,573,682,Subvencionado,M,4.0,510145
659,637,619,763,Municipalizado,M,4.9,510145
620,523,552,599,Subvencionado,M,1.0,520145
713,638,656,764,Privado,F,4.6,520145
686,616,564,496,Municipalizado,M,5.7,510145
666,625,634,475,Subvencionado,M,3.4,520145
648,647,601,661,Municipalizado,F,2.6,520145
662,708,595,659,Privado,F,4.0,530024
605,619,619,599,Municipalizado,M,2.7,520145
652,613,556,598,Municipalizado,M,1.4,520145
605,478,563,701,Subvencionado,M,4.8,520145
718,681,786,786,Subvencionado,F,4.8,510145
672,690,614,661,Subvencionado,M,3.0,510145
637,581,610,459,Privado,M,4.1,530024
594,547,550,495,Subvencionado,F,2.5,510145
756,572,588,454,Subvencionado,M,1.0,520145
678,597,667,521,Municipalizado,M,4.3,510145
571,602,581,682,Municipalizado,M,3.8,520145
635,638,667,723,Municipalizado,M,3.3,510145
582,580,534,639,Municipalizado,M,2.8,510145
773,626,660,682,Subvencionado,M,4.5,530024
694,627,619,680,Subvencionado,M,4.3,530024
615,562,579,724,Subvencionado,M,4.3,530024
616,608,563,619,Municipalizado,F,4.0,530024
679,660,612,620,Subvencionado,M,4.1,530024
575,529,591,702,Municipalizado,F,4.7,510145
718,592,627,662,Municipalizado,M,4.0,520145
646,675,648,537,Subvencionado,M,4.2,510145
701,614,698,722,Subvencionado,M,3.4,520145
647,675,676,641,Subvencionado,M,2.4,520145
586,657,567,538,Subvencionado,M,1.0,510145
695,660,633,744,Municipalizado,M,4.6,530024
664,567,560,598,Subvencionado,M,2.9,520145
633,632,671,599,Municipalizado,M,4.2,510145
616,537,535,701,Municipalizado,M,4.0,530024
712,683,550,640,Subvencionado,M,4.1,530024
678,558,557,661,Subvencionado,M,4.6,510145
651,615,656,764,Municipalizado,M,5.6,530024
600,568,605,662,Subvencionado,M,3.4,520145
663,626,692,640,Privado,M,4.6,510145
656,562,614,434,Subvencionado,M,2.5,510145
660,552,606,640,Subvencionado,F,1.0,530024
687,732,676,578,Privado,M,1.0,510145
672,620,631,683,Subvencionado,M,5.5,530024
614,682,618,641,Municipalizado,F,1.0,530024
642,596,647,680,Municipalizado,M,2.5,520145
773,651,683,681,Subvencionado,M,5.3,530024
669,675,682,661,Privado,M,3.5,510145
718,681,630,682,Subvencionado,M,3.6,520145
603,499,531,661,Municipalizado,M,2.3,520145
830,710,688,682,Subvencionado,M,4.4,520145
679,645,705,743,Subvencionado,M,4.5,510145
670,684,549,661,Subvencionado,M,4.4,510145
701,633,671,723,Privado,M,4.0,510145
649,659,630,579,Subvencionado,M,4.0,520145
638,650,591,660,Subvencionado,F,3.7,510145
583,576,547,619,Subvencionado,M,1.7,520145
609,574,585,682,Municipalizado,F,4.0,530024
644,639,607,680,Subvencionado,F,3.0,510145
666,626,633,474,Subvencionado,M,2.0,520145
678,512,705,661,Municipalizado,M,6.0,530024
643,539,557,578,Privado,F,4.7,520145
658,623,582,723,Subvencionado,M,3.0,520145
623,578,584,662,Subvencionado,M,1.0,530024
619,471,559,723,Subvencionado,F,5.1,520145
640,596,567,681,Subvencionado,M,3.1,510145
849,692,693,744,Privado,F,5.8,520145
614,537,535,702,Municipalizado,M,4.6,520145
627,596,604,618,Municipalizado,M,4.0,520145
773,659,698,641,Subvencionado,M,4.7,520145
670,701,706,701,Subvencionado,M,2.5,520145
650,586,527,496,Privado,M,4.0,520145
693,586,676,618,Privado,M,6.0,520145
615,595,592,599,Municipalizado,M,2.5,510145
658,618,627,618,Privado,M,4.2,530024
773,650,683,682,Subvencionado,M,4.2,510145
637,667,714,661,Municipalizado,M,2.2,520145
732,563,602,701,Municipalizado,M,1.0,510145
830,745,675,764,Subvencionado,M,4.5,530024
647,602,664,641,Subvencionado,M,1.0,520145
678,633,674,557,Privado,M,5.5,520145
617,618,574,619,Subvencionado,M,3.0,520145
630,644,631,621,Privado,M,5.1,530024
626,582,631,641,Subvencionado,M,5.0,520145
810,722,638,702,Privado,F,3.2,510145
560,518,545,682,Municipalizado,M,4.0,520145
679,632,656,763,Privado,M,4.9,510145
616,542,517,765,Municipalizado,M,6.6,520145
642,675,614,700,Subvencionado,M,2.9,520145
661,591,602,600,Privado,M,4.6,520145
681,632,648,537,Subvencionado,M,5.3,530024
609,574,585,681,Municipalizado,F,1.9,510145
794,596,625,557,Privado,M,3.0,520145
712,595,665,723,Subvencionado,M,6.1,530024
619,579,566,557,Subvencionado,M,2.8,510145
678,561,638,498,Subvencionado,M,1.0,510145
646,600,640,722,Municipalizado,M,4.1,520145
583,659,603,681,Municipalizado,M,3.4,510145
606,592,607,557,Municipalizado,M,2.2,510145
811,638,595,495,Subvencionado,M,3.6,520145
772,683,777,660,Privado,M,3.5,520145
666,650,711,722,Subvencionado,M,4.8,510145
590,629,582,460,Privado,M,1.0,530024
743,739,696,683,Privado,M,4.2,530024
756,596,684,598,Municipalizado,M,3.4,510145
623,526,652,475,Subvencionado,M,3.5,510145
757,571,588,455,Subvencionado,M,1.0,510145
647,625,708,662,Municipalizado,M,3.7,510145
736,552,628,784,Subvencionado,M,6.0,520145
656,568,606,724,Municipalizado,M,1.0,510145
648,650,601,659,Municipalizado,F,3.6,530024
659,568,614,659,Subvencionado,M,3.7,520145
